config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
32,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0086_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0087_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0088_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0089_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0090_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0091_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0092_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0093_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0094_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0095_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0096_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0097_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0098_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0099_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0100_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0101_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0102_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0103_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0104_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0105_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0106_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0107_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0108_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0109_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0110_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0111_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0112_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0113_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0114_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0115_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0116_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0117_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0118_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0119_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,128,0.0003,mse_scen,0.0,2000,0.0,run_0120_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0121_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0122_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0123_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0124_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0125_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0126_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
