attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
full_piecewise_linear_screen_long_finetune_rep02_attempt1778028342962_w9,full_piecewise_linear_screen_long_finetune_rep02,piecewise_linear,long_finetune,2,9,instance-20260501-084214,1068507,1778028342962
full_piecewise_linear_screen_fewer_pieces_rep02_attempt1778028342962_w8,full_piecewise_linear_screen_fewer_pieces_rep02,piecewise_linear,fewer_pieces,2,8,instance-20260501-084214,1068506,1778028342962
full_piecewise_linear_screen_higher_end_mu_rep02_attempt1778028342988_w4,full_piecewise_linear_screen_higher_end_mu_rep02,piecewise_linear,higher_end_mu,2,4,instance-20260501-133020,2046956,1778028342988
full_piecewise_linear_screen_short_start_rep02_attempt1778028342988_w5,full_piecewise_linear_screen_short_start_rep02,piecewise_linear,short_start,2,5,instance-20260501-133020,2046957,1778028342988
full_piecewise_linear_screen_lower_end_mu_rep02_attempt1778028342988_w3,full_piecewise_linear_screen_lower_end_mu_rep02,piecewise_linear,lower_end_mu,2,3,instance-20260501-133020,2046948,1778028342988
full_piecewise_linear_screen_long_start_rep02_attempt1778028342989_w6,full_piecewise_linear_screen_long_start_rep02,piecewise_linear,long_start,2,6,instance-20260501-133020,2046958,1778028342989
full_piecewise_linear_final_lower_end_mu_rep01_attempt1778029363442_w2,full_piecewise_linear_final_lower_end_mu_rep01,piecewise_linear,lower_end_mu,1,2,instance-20260501-084214,1068493,1778029363442
full_piecewise_linear_final_higher_end_mu_rep02_attempt1778029363445_w9,full_piecewise_linear_final_higher_end_mu_rep02,piecewise_linear,higher_end_mu,2,9,instance-20260501-084214,1068507,1778029363445
full_piecewise_linear_final_higher_end_mu_rep01_attempt1778029363445_w8,full_piecewise_linear_final_higher_end_mu_rep01,piecewise_linear,higher_end_mu,1,8,instance-20260501-084214,1068506,1778029363445
full_piecewise_linear_final_lower_end_mu_rep06_attempt1778029363445_w7,full_piecewise_linear_final_lower_end_mu_rep06,piecewise_linear,lower_end_mu,6,7,instance-20260501-084214,1068505,1778029363445
full_piecewise_linear_final_higher_end_mu_rep03_attempt1778029363445_w10,full_piecewise_linear_final_higher_end_mu_rep03,piecewise_linear,higher_end_mu,3,10,instance-20260501-084214,1068508,1778029363445
full_piecewise_linear_final_higher_end_mu_rep05_attempt1778029363445_w12,full_piecewise_linear_final_higher_end_mu_rep05,piecewise_linear,higher_end_mu,5,12,instance-20260501-084214,1068514,1778029363445
full_piecewise_linear_final_higher_end_mu_rep04_attempt1778029363445_w11,full_piecewise_linear_final_higher_end_mu_rep04,piecewise_linear,higher_end_mu,4,11,instance-20260501-084214,1068509,1778029363445
full_piecewise_linear_final_higher_end_mu_rep06_attempt1778029363445_w13,full_piecewise_linear_final_higher_end_mu_rep06,piecewise_linear,higher_end_mu,6,13,instance-20260501-084214,1068516,1778029363445
full_piecewise_linear_final_lower_end_mu_rep02_attempt1778029363472_w3,full_piecewise_linear_final_lower_end_mu_rep02,piecewise_linear,lower_end_mu,2,3,instance-20260501-133020,2046948,1778029363472
full_piecewise_linear_final_lower_end_mu_rep03_attempt1778029363472_w4,full_piecewise_linear_final_lower_end_mu_rep03,piecewise_linear,lower_end_mu,3,4,instance-20260501-133020,2046956,1778029363472
full_piecewise_linear_final_lower_end_mu_rep04_attempt1778029363472_w5,full_piecewise_linear_final_lower_end_mu_rep04,piecewise_linear,lower_end_mu,4,5,instance-20260501-133020,2046957,1778029363472
full_piecewise_linear_final_lower_end_mu_rep05_attempt1778029363472_w6,full_piecewise_linear_final_lower_end_mu_rep05,piecewise_linear,lower_end_mu,5,6,instance-20260501-133020,2046958,1778029363472
