candidate_name,controller_status,exitcode,group,launched_at,pid,replicate,run_id,running
pure_rho_0p003,finished,0,04_pure_quadratic,1777972139468,76116,5,full_04_pure_quadratic_pure_rho_0p003_rep05,false
pure_rho_0p01,finished,0,04_pure_quadratic,1777972314059,76231,2,full_04_pure_quadratic_pure_rho_0p01_rep02,false
pure_rho_0p01,finished,0,04_pure_quadratic,1777972490027,76278,3,full_04_pure_quadratic_pure_rho_0p01_rep03,false
pure_rho_0p01,finished,0,04_pure_quadratic,1777972534592,76304,4,full_04_pure_quadratic_pure_rho_0p01_rep04,false
pure_rho_0p01,finished,0,04_pure_quadratic,1777972572675,76333,5,full_04_pure_quadratic_pure_rho_0p01_rep05,false
pure_rho_0p03,finished,0,04_pure_quadratic,1777972820121,76521,1,full_04_pure_quadratic_pure_rho_0p03_rep01,false
pure_rho_0p03,finished,0,04_pure_quadratic,1777973021889,76938,2,full_04_pure_quadratic_pure_rho_0p03_rep02,false
pure_rho_0p03,finished,0,04_pure_quadratic,1777973354765,77378,5,full_04_pure_quadratic_pure_rho_0p03_rep05,false
pure_rho_0p03,finished,0,04_pure_quadratic,1777973114027,77044,3,full_04_pure_quadratic_pure_rho_0p03_rep03,false
pure_rho_0p03,finished,0,04_pure_quadratic,1777973330060,77351,4,full_04_pure_quadratic_pure_rho_0p03_rep04,false
k2,finished,0,05_knn_equilibration,1777973613358,77766,1,full_05_knn_equilibration_k2_rep01,false
k2,finished,0,05_knn_equilibration,1777973791110,77987,2,full_05_knn_equilibration_k2_rep02,false
k2,finished,0,05_knn_equilibration,1777973985860,78235,3,full_05_knn_equilibration_k2_rep03,false
k2,finished,0,05_knn_equilibration,1777976631531,81285,5,full_05_knn_equilibration_k2_rep05,false
k2,finished,0,05_knn_equilibration,1777976585303,81174,4,full_05_knn_equilibration_k2_rep04,false
k3,finished,0,05_knn_equilibration,1777977454958,82239,3,full_05_knn_equilibration_k3_rep03,false
k3,finished,0,05_knn_equilibration,1777977551496,82349,4,full_05_knn_equilibration_k3_rep04,false
k3,finished,0,05_knn_equilibration,1777977159033,81747,2,full_05_knn_equilibration_k3_rep02,false
k3,finished,0,05_knn_equilibration,1777976778724,81468,1,full_05_knn_equilibration_k3_rep01,false
k3,finished,0,05_knn_equilibration,1777977721751,82565,5,full_05_knn_equilibration_k3_rep05,false
batch8,queued,,06_batch_size,,,1,full_06_batch_size_batch8_rep01,false
batch8,queued,,06_batch_size,,,2,full_06_batch_size_batch8_rep02,false
batch8,queued,,06_batch_size,,,3,full_06_batch_size_batch8_rep03,false
batch8,queued,,06_batch_size,,,4,full_06_batch_size_batch8_rep04,false
batch16,queued,,06_batch_size,,,1,full_06_batch_size_batch16_rep01,false
batch16,queued,,06_batch_size,,,2,full_06_batch_size_batch16_rep02,false
